City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
464,Puerto Colombia,CO,84.29,10.9878,-74.9547,Hotel El Emigrante
467,Anito,PH,84.7,12.4497,125.2886,El Felix Cottages
469,Chifeng,CN,83.35,42.2683,118.9636,Junyu Tiancheng Hotel
473,Thinadhoo,MV,81.46,0.5333,72.9333,
475,San Diego De Los Banos,CU,78.03,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
478,Magaria,NE,78.98,12.9983,8.9099,Chez Honorable Chapiou
479,Kiryas Joel,US,79.14,41.342,-74.1679,Americas Best Value Inn Central Valley
480,Labuhan,ID,79.09,-6.8844,112.2051,DoubleFAG
481,Yarada,IN,79.12,17.65,83.2667,Yarada Jungle Beach Resorts
482,Tukrah,LY,77.83,32.5341,20.5791,Lagrota restaurant
485,Myanaung,MM,81.7,18.2833,95.3167,Taung Hlay Khar
492,Salinas,US,85.01,36.6777,-121.6555,Laurel Inn & Conference Center
497,Eyl,SO,76.1,7.9803,49.8164,Amiin Hotel
499,Kinablangan,PH,81.72,7.6947,126.5503,Morales Eatery and Lodging House
500,Fairview,US,80.24,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
502,Misratah,LY,81.63,32.3754,15.0925,Almasa Hotel
504,Kapit,MY,77.68,2.0167,112.9333,Hotel Meligai Kapit
511,Lloret De Mar,ES,81.9,41.6999,2.8457,Apartaments Guitart
512,Morro Bay,US,88.68,35.3658,-120.8499,Inn at Morro Bay
515,Weinan,CN,82.04,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
521,Coahuayana,MX,83.73,18.7333,-103.6833,El rranchito michuacan de ocampos
524,Kefamenanu,ID,76.78,-9.4467,124.4781,Sokowindo Losmen
527,Biak,ID,77.99,-0.9131,122.8766,Penginapan Kim
528,Pauini,BR,80.56,-7.7136,-66.9764,Casa do Kiwliks
529,Buala,SB,85.06,-8.145,159.5921,Maringe Lagoon Lodge
531,Outram,MY,80.62,1.2829,103.8379,Grand Copthorne Waterfront
533,Porto Novo,BJ,75.02,6.4965,2.6036,Tour Eiffel Hotel Benin
535,Sheopur,IN,81.14,25.6667,76.7,Shri Ram Dharmshala
536,Natal,BR,79.02,-5.795,-35.2094,Villa Park Hotel | Natal
539,Seoul,KR,81.97,37.5683,126.9778,LOTTE HOTEL SEOUL
544,Jibuti,DJ,83.53,11.5,42.5,Orchid Main Camp Goubet
